# ניסוחים מופרדים ב-|	תשובה
# ישראל
מה ארבע הכוסות	בליל הסדר שותים ארבע כוסות יין כנגד ארבע לשונות של גאולה
מה עשר המכות|מה המכות|מה מכות מצרים	דם, צפרדע, כינים, ערוב, דבר, שחין, ברד, ארבה, חושך ומכת בכורות
מה זה שבת	יום המנוחה, היום השביעי בשבוע, זכר למעשה בראשית וליציאת מצרים
כמה ברכות בשמונה עשרה|כמה ברכות בעמידה	בתפילת העמידה של יום חול יש תשע עשרה ברכות
מה אומרים בקריאת שמע|מה הפסוק הראשון בקריאת שמע	שמע ישראל ה' אלוהינו ה' אחד
כמה תפילות ביום	שלוש: שחרית, מנחה וערבית
מה זה מזוזה	קלף עם פרשות שמע ישראל והיה אם שמוע, שמים על משקוף הדלת
מה זה תפילין	בתי עור עם פרשיות מהתורה, מניחים על היד ועל הראש בתפילת שחרית
מה זה בר מצווה	גיל שלוש עשרה לבן, שבו הוא מתחייב במצוות
מה זה בת מצווה	גיל שתים עשרה לבת, שבו היא מתחייבת במצוות
מה אומרים על שמועה טובה|מה מברכים על בשורה טובה	הטוב והמטיב
מה מברכים על ברק|מה מברכים כשרואים ברק	עושה מעשה בראשית
מה מברכים על רעם|מה מברכים כששומעים רעם	שכוחו וגבורתו מלא עולם
מה מברכים על קשת|מה מברכים כשרואים קשת	זוכר הברית ונאמן בבריתו וקיים במאמרו
מה מברכים על פרי חדש|מה מברכים על בגד חדש	שהחיינו וקיימנו והגיענו לזמן הזה
מה מברכים אחרי השירותים	אשר יצר
מה זה ברכת המזון	הברכה שמברכים אחרי סעודה עם לחם
# מדע
כמה עצמות בגוף|כמה עצמות יש בגוף האדם	בגוף של אדם מבוגר יש מאתיים ושש עצמות
מה העצם הארוכה בגוף	עצם הירך
מה האיבר הגדול בגוף	העור הוא האיבר הגדול ביותר בגוף
כמה שיניים יש לאדם מבוגר	שלושים ושתיים שיניים, כולל שיני בינה
כמה שיני חלב יש	עשרים שיני חלב
כמה פעמים הלב פועם בדקה	בערך שישים עד מאה פעמים בדקה במנוחה
כמה דם יש בגוף	בגוף של אדם מבוגר יש כחמישה ליטר דם
מה סוגי הדם|אילו סוגי דם יש	A, B, AB ו-O, כל אחד חיובי או שלילי
כמה חושים יש לאדם|מה החושים	חמישה חושים: ראייה, שמיעה, ריח, טעם ומישוש
כמה כרומוזומים יש לאדם	ארבעים ושישה כרומוזומים, עשרים ושלושה זוגות
מה מהירות האור	בערך שלוש מאות אלף קילומטר בשנייה
מה מהירות הקול	בערך שלוש מאות ארבעים ושלושה מטר בשנייה באוויר
כמה זמן לוקח לאור של השמש להגיע אלינו	בערך שמונה דקות ועשרים שניות
מה המרחק לשמש|כמה רחוקה השמש	בערך מאה וחמישים מיליון קילומטר
מה המרחק לירח|כמה רחוק הירח	בערך שלוש מאות שמונים וארבעה אלף קילומטר
כמה כוכבי לכת יש|כמה כוכבי לכת במערכת השמש	שמונה כוכבי לכת: חמה, נוגה, ארץ, מאדים, צדק, שבתאי, אורנוס ונפטון
מה הכוכב הכי גדול במערכת השמש	צדק
מה הכוכב הכי קרוב לשמש	חמה
מה זה פלוטו	פלוטו היה נחשב לכוכב לכת, ומאז 2006 הוא מוגדר ככוכב לכת ננסי
מה הכוכב הקרוב ביותר לכדור הארץ	חוץ מהשמש, פרוקסימה קנטאורי, במרחק של יותר מארבע שנות אור
מה זה שנת אור	המרחק שהאור עובר בשנה, בערך תשעה וחצי טריליון קילומטר
מה זה חור שחור	אזור בחלל שבו כוח המשיכה כל כך חזק ששום דבר, אפילו לא אור, לא יכול לברוח ממנו
מה הגיל של כדור הארץ|בן כמה כדור הארץ	לפי המדע, בערך ארבעה וחצי מיליארד שנה
מה ההיקף של כדור הארץ	בערך ארבעים אלף קילומטר
באיזו טמפרטורה מים רותחים|מתי מים רותחים	מאה מעלות צלזיוס בגובה פני הים
באיזו טמפרטורה מים קופאים|מתי מים קופאים	אפס מעלות צלזיוס
מה הנוסחה של מים|ממה עשויים מים	H2O, שני אטומי מימן ואטום חמצן אחד
מה הגז שאנחנו נושמים	חמצן, והוא בערך עשרים ואחד אחוז מהאוויר
ממה מורכב האוויר	בערך שבעים ושמונה אחוז חנקן, עשרים ואחד אחוז חמצן, ועוד גזים בכמות קטנה
מה זה פוטוסינתזה	התהליך שבו צמחים הופכים אור שמש, מים ופחמן דו חמצני לסוכר וחמצן
מה זה כוח המשיכה|מה זה גרביטציה	הכוח שמושך גופים זה לזה, הוא מה שמחזיק אותנו על כדור הארץ
מי גילה את כוח המשיכה	אייזק ניוטון ניסח את חוק הכבידה
מי המציא את הנורה	תומס אדיסון שכלל את הנורה החשמלית המעשית
מי המציא את הטלפון	אלכסנדר גרהם בל
מי המציא את הדפוס	יוהאן גוטנברג
מי המציא את המטוס	האחים רייט, ב-1903
מי המציא את הרדיו	גוליילמו מרקוני
מי גילה את הפניצילין	אלכסנדר פלמינג, ב-1928
מי ניסח את תורת היחסות	אלברט איינשטיין
מה זה DNA|מה זה די אן איי	החומר התורשתי שנמצא בכל תא ומכיל את ההוראות לבניית היצור החי
מה החיה הכי גדולה בעולם	הלווייתן הכחול
מה החיה הכי מהירה	הברדלס, הצ'יטה, רץ עד כמאה ועשרים קמ"ש, והבז הנודד צולל עוד יותר מהר
מה החיה הכי גבוהה	הג'ירפה
מה הציפור הכי גדולה	היען
כמה רגליים יש לעכביש	שמונה
כמה רגליים יש לחרק	שש
כמה זרועות יש לתמנון	שמונה
כמה לבבות יש לתמנון	שלושה
כמה זמן חיה צב	צבי יבשה גדולים יכולים לחיות יותר ממאה שנה
# גאוגרפיה
מה ההר הגבוה בעולם|ההר הכי גבוה בעולם	האוורסט, בגובה של כשמונה אלפים ושמונה מאות ארבעים ותשעה מטר
מה הנהר הארוך בעולם|הנהר הכי ארוך בעולם	הנילוס, ויש שטוענים שהאמזונס
מה האוקיינוס הגדול בעולם|האוקיינוס הכי גדול	האוקיינוס השקט
מה המדבר הגדול בעולם	מדבר סהרה הוא המדבר החם הגדול, ואנטארקטיקה היא המדבר הגדול בכלל
מה המדינה הגדולה בעולם|המדינה הכי גדולה בעולם	רוסיה
מה המדינה הקטנה בעולם|המדינה הכי קטנה בעולם	הוותיקן
מה המדינה עם הכי הרבה תושבים|המדינה הכי מאוכלסת	הודו, ואחריה סין
כמה יבשות יש|מה היבשות	שבע יבשות: אסיה, אפריקה, צפון אמריקה, דרום אמריקה, אנטארקטיקה, אירופה ואוסטרליה
כמה אוקיינוסים יש	חמישה: השקט, האטלנטי, ההודי, הדרומי והארקטי
כמה מדינות יש בעולם	מאה תשעים ושלוש מדינות חברות באו"ם, ועוד שתיים משקיפות
כמה אנשים יש בעולם|מה אוכלוסיית העולם	יותר משמונה מיליארד בני אדם
מה העיר הגדולה בעולם	טוקיו היא המטרופולין הגדול בעולם
מה האי הגדול בעולם	גרינלנד
מה המפל הגבוה בעולם	מפל אנחל בוונצואלה
מה האגם הגדול בעולם	הים הכספי
מה היבשת הגדולה	אסיה
מה היבשת הקרה ביותר	אנטארקטיקה
איפה נמצא מגדל אייפל	בפריז, צרפת
איפה נמצא פסל החירות	בניו יורק, ארצות הברית
איפה נמצאות הפירמידות	בגיזה שבמצרים
איפה נמצאת החומה הסינית	בסין
איפה נמצא הקולוסיאום	ברומא, איטליה
איפה נמצא הביג בן	בלונדון, אנגליה
איפה נמצא הטאג' מהאל	באגרה שבהודו
# היסטוריה
מתי הייתה מלחמת העולם הראשונה	בין 1914 ל-1918
מתי הייתה מלחמת העולם השנייה	בין 1939 ל-1945
מתי נחת אדם על הירח|מי היה האדם הראשון על הירח	ניל ארמסטרונג, ב-20 ביולי 1969
מי היה האדם הראשון בחלל	יורי גגרין, ב-1961
מי היה הישראלי הראשון בחלל	אילן רמון, ב-2003
מתי גילה קולומבוס את אמריקה	ב-1492
מי היה נשיא ארצות הברית הראשון	ג'ורג' וושינגטון
מתי נפלה חומת ברלין	ב-1989
מתי הייתה מלחמת ששת הימים	ביוני 1967
מתי הייתה מלחמת יום כיפור	באוקטובר 1973
מתי הייתה מלחמת העצמאות	בשנים 1947 עד 1949
מתי שוחררה ירושלים|מתי אוחדה ירושלים	במלחמת ששת הימים, כ"ח באייר תשכ"ז, 1967
מתי היה מבצע אנטבה	ביולי 1976
מתי נחתם הסכם השלום עם מצרים	ב-1979
מתי נחתם הסכם השלום עם ירדן	ב-1994
מה זה השואה	רצח שישה מיליון יהודים בידי גרמניה הנאצית ועוזריה, בזמן מלחמת העולם השנייה
מה הייתה הצהרת בלפור	הצהרה בריטית מ-1917 שתמכה בהקמת בית לאומי לעם היהודי בארץ ישראל
מי היה הרצל	בנימין זאב הרצל, חוזה המדינה ומייסד הציונות המדינית
מתי היה הקונגרס הציוני הראשון	ב-1897 בבזל
# מתמטיקה
מה זה פאי|כמה זה פאי	פאי הוא היחס בין היקף מעגל לקוטר שלו, בערך שלוש נקודה אחת ארבע אחת חמש תשע
כמה מעלות יש במעגל	שלוש מאות ושישים מעלות
כמה מעלות יש במשולש	סכום הזוויות במשולש הוא מאה ושמונים מעלות
כמה מעלות בזווית ישרה	תשעים מעלות
כמה צלעות יש למשושה	שש
כמה צלעות יש למחומש	חמש
כמה צלעות יש למתומן	שמונה
מה השטח של מעגל|איך מחשבים שטח מעגל	פאי כפול הרדיוס בריבוע
מה ההיקף של מעגל|איך מחשבים היקף מעגל	שתיים כפול פאי כפול הרדיוס
איך מחשבים שטח משולש	בסיס כפול גובה חלקי שתיים
איך מחשבים שטח מלבן	אורך כפול רוחב
מה משפט פיתגורס	במשולש ישר זווית, סכום ריבועי הניצבים שווה לריבוע היתר
מה זה מספר ראשוני	מספר שמתחלק רק באחד ובעצמו, כמו שתיים, שלוש, חמש ושבע
מה המספר הראשוני הקטן ביותר	שתיים
כמה אפסים יש במיליון	שישה אפסים
כמה אפסים יש במיליארד	תשעה אפסים
כמה זה תריסר	שתים עשרה
כמה ימים יש בשנה	שלוש מאות שישים וחמישה ימים, ובשנה מעוברת לועזית שלוש מאות שישים ושישה
כמה ימים יש בשנה מעוברת	בלוח הלועזי שלוש מאות שישים ושישה, ובלוח העברי מוסיפים חודש שלם, אדר ב'
כמה ימים בפברואר	עשרים ושמונה, ובשנה מעוברת עשרים ותשעה
כמה חודשים יש בשנה העברית	שנים עשר, ובשנה מעוברת שלושה עשר
כמה שבועות יש בשנה	חמישים ושניים שבועות ויום
# שפה
כמה אותיות יש באלף בית	עשרים ושתיים אותיות, ועוד חמש אותיות סופיות
מה האותיות הסופיות|מה אותיות מנצפך	מנצפ"ך: ם, ן, ץ, ף, ך
כמה אותיות באנגלית|כמה אותיות יש באלף בית האנגלי	עשרים ושש אותיות
מה האות הראשונה באלף בית	אלף
מה האות האחרונה באלף בית	תו
מי חידש את השפה העברית|מי החיה את העברית	אליעזר בן יהודה
# בית ובריאות
כמה מים צריך לשתות ביום	מומלץ בערך שמונה כוסות, כשני ליטר ביום, ויותר בחום
כמה שעות צריך לישון	מבוגר צריך בערך שבע עד תשע שעות שינה בלילה
מה המספר של מד"א|מה המספר של מגן דוד אדום|מה המספר של אמבולנס	מאה ואחת
מה המספר של המשטרה	מאה
מה המספר של מכבי האש|מה המספר של כבאות	מאה ושתיים
מה המספר של פיקוד העורף	מאה וארבע
מה המספר של חברת החשמל	מאה ושלוש
מה המספר של ער"ן|מה המספר של עזרה נפשית	אלף מאתיים ואחת
מה לעשות בזמן רעידת אדמה	לצאת לשטח פתוח אם אפשר, ואם לא, להיכנס לממ"ד או לחדר המדרגות
מה לעשות כששומעים אזעקה	להיכנס למרחב המוגן לפי הזמן שנקבע לאזור שלך, ולהמתין עשר דקות
מה לעשות בכוויה	לשטוף במים פושרים זורמים כעשרים דקות, לא לשים קרח או משחה
מה לעשות בשיעול	לשתות הרבה, לנוח, ואם זה נמשך או מלווה בחום גבוה לפנות לרופא
מה החום התקין של הגוף|מה חום גוף רגיל	בערך שלושים ושש נקודה חמש עד שלושים ושבע מעלות
מה לחץ דם תקין	בערך מאה ועשרים על שמונים
# כללי
מה הצבעים של הקשת|מה צבעי הקשת	אדום, כתום, צהוב, ירוק, כחול, אינדיגו וסגול
מה הצבעים של דגל ישראל	כחול ולבן, עם מגן דוד באמצע
מה הצבעים הבסיסיים|מה צבעי היסוד	אדום, צהוב וכחול
מה יוצא מכחול וצהוב	ירוק
מה יוצא מאדום וצהוב	כתום
מה יוצא מאדום וכחול	סגול
מה יוצא משחור ולבן	אפור
כמה שחקנים בקבוצת כדורגל	אחד עשר שחקנים על המגרש
כמה שחקנים בקבוצת כדורסל	חמישה שחקנים על המגרש
כמה זמן משחק כדורגל	תשעים דקות, שני חצאים של ארבעים וחמש
כל כמה שנים האולימפיאדה	כל ארבע שנים
כמה משבצות בלוח שחמט	שישים וארבע
כמה קלפים יש בחפיסה	חמישים ושניים, ועוד שני ג'וקרים
כמה מקשים יש בפסנתר	שמונים ושמונה
מה זה אמוג'י	סמלון קטן שמביע רגש או רעיון בהודעות
מי כתב את הארי פוטר	ג'יי קיי רולינג
מי כתב את רומיאו ויוליה	ויליאם שייקספיר
מי צייר את המונה ליזה	לאונרדו דה וינצ'י
מי כתב את הנסיך הקטן	אנטואן דה סנט אקזופרי
מי כתב את התשיעית|מי הלחין את הסימפוניה התשיעית	לודוויג ואן בטהובן
מה המצאת השנה|מה זה בינה מלאכותית	בינה מלאכותית היא מחשבים שלומדים לבצע משימות שדורשות חשיבה, כמו הבנת שפה
מה משמעות החיים	שאלה גדולה, ולכל אחד יש תשובה משלו
# על העוזר
מה הגרסה שלך|איזו גרסה אתה	אני העוזר הקולי של FutureOS, עובד כולו בתוך המכשיר בלי אינטרנט
אתה צריך אינטרנט|אתה עובד בלי אינטרנט	לא, אני עובד כולו מקומית בתוך המכשיר
אתה בינה מלאכותית|אתה רובוט	אני עוזר קולי שרץ על המכשיר, מזהה דיבור ועונה מתוך מאגר ידע מקומי
מי יצר אותך|מי בנה אותך	נבניתי כחלק ממערכת FutureOS
כמה פקודות אתה יודע|כמה דברים אתה יודע	אני מכיר אלפי פקודות: שעה ותאריך, תאריך עברי, חגים, בירות, תרגום לאנגלית, ברכות, יסודות, יחידות, חשבון ועוד
אתה אוהב אותי	אני תמיד שמח לעזור לך
אתה חכם	אני משתדל, ואני לומד כל הזמן פקודות חדשות
מה אתה אוהב לעשות	לעזור לך
