# מילה בעברית(|צורות נוספות)	באנגלית	הגייה באותיות עבריות (לקול)
# משפחה ואנשים
אמא	mother	מאדר
נייר	paper	פייפר
דף	page	פייג'
מכתב	letter	לטר
מילה	word	וורד
משפט	sentence	סנטנס
שפה	language	לנגווג'
אנגלית	english	אינגליש
עברית	hebrew	היברו
ערבית	arabic	ארביק
צרפתית	french	פרנץ'
שיעור	lesson	לסן
כיתה	class	קלאס
מבחן	test	טסט
ציון	grade	גרייד
שיעורי בית	homework	הומוורק
שאלה	question	קווסצ'ן
תשובה	answer	אנסר
סיפור	story	סטורי
שיר	song	סונג
מוזיקה	music	מיוזיק
תמונה	picture	פיקצ'ר
סרט	movie	מובי
משחק	game	גיים
עבודה	work	וורק
כסף	money	מאני
מחיר	price	פרייס
משכורת	salary	סלרי
חשבון	bill	ביל
פגישה	meeting	מיטינג
חדשות	news	ניוז
עיתון	newspaper	ניוזפייפר
מתמטיקה	math	מאת'
מדע	science	סיינס
היסטוריה	history	היסטורי
ספורט	sport	ספורט
כדורגל	soccer	סוקר
כדורסל	basketball	בסקטבול
כדור	ball	בול
ריצה	running	ראנינג
שחייה	swimming	סווימינג
# מחשבים וטכנולוגיה
אינטרנט	internet	אינטרנט
אתר	website	וובסייט
מקלדת	keyboard	קיבורד
מסך	screen	סקרין
עכבר מחשב	mouse	מאוס
קובץ	file	פייל
תיקייה	folder	פולדר
סיסמה	password	פסוורד
הודעה	message	מסג'
דואר אלקטרוני|אימייל	email	אימייל
אפליקציה	app	אפ
תוכנה	software	סופטוור
רשת	network	נטוורק
אות	signal	סיגנל
מקש	key	קי
חשמל	electricity	אלקטריסיטי
מנוע	engine	אנג'ין
מכונה	machine	משין
רובוט	robot	רובוט
# רגשות ותכונות
שמח	happy	הפי
עצוב	sad	סאד
כועס	angry	אנגרי
מפחד|פוחד	afraid	אפרייד
עייף	tired	טאיירד
רעב	hungry	האנגרי
צמא	thirsty	ת'רסטי
חולה	sick	סיק
בריא	healthy	הלת'י
משועמם	bored	בורד
מופתע	surprised	סרפרייזד
גאה	proud	פראוד
מתבייש	ashamed	אשיימד
לחוץ	stressed	סטרסט
רגוע	calm	קאלם
מאוהב	in love	אין לאב
בודד	lonely	לונלי
עסוק	busy	ביזי
פנוי	free	פרי
אהבה	love	לאב
שנאה	hate	הייט
פחד	fear	פיר
שמחה	joy	ג'וי
תקווה	hope	הופ
חלום	dream	דרים
רעיון	idea	איידיאה
זיכרון	memory	ממורי
טוב	good	גוד
רע	bad	באד
גדול	big	ביג
קטן	small	סמול
חדש	new	ניו
ישן	old	אולד
צעיר	young	יאנג
יפה	beautiful	ביוטיפול
מכוער	ugly	אגלי
חזק	strong	סטרונג
חלש	weak	וויק
חם	hot	הוט
קר	cold	קולד
חמים	warm	וורם
ארוך	long	לונג
קצר	short	שורט
גבוה	tall	טול
נמוך	low	לו
מהיר	fast	פאסט
איטי	slow	סלואו
קל	easy	איזי
קשה	hard	הארד
כבד	heavy	הבי
רך	soft	סופט
נקי	clean	קלין
מלוכלך	dirty	דירטי
עשיר	rich	ריץ'
עני	poor	פור
חכם	smart	סמארט
טיפש	stupid	סטיופיד
מצחיק	funny	פאני
משעמם	boring	בורינג
מעניין	interesting	אינטרסטינג
מסוכן	dangerous	דיינג'רס
בטוח	safe	סייף
שקט	quiet	קוואייט
רועש	loud	לאוד
מלא	full	פול
ריק	empty	אמפטי
פתוח	open	אופן
סגור	closed	קלוזד
נכון	correct	קורקט
טעות	mistake	מיסטייק
אמת	truth	טרות'
שקר	lie	לאיי
חשוב	important	אימפורטנט
אפשרי	possible	פוסיבל
בלתי אפשרי	impossible	אימפוסיבל
מוכן	ready	רדי
שבור	broken	ברוקן
יקר	expensive	אקספנסיב
זול	cheap	צ'יפ
מתוק	sweet	סוויט
מר	bitter	ביטר
חמוץ	sour	סאוור
מלוח	salty	סולטי
חריף	spicy	ספייסי
טעים	tasty	טייסטי
נחמד	nice	נייס
אדיב	kind	קיינד
אמיץ	brave	בראייב
ביישן	shy	שאיי
עצלן	lazy	לייזי
סבלני	patient	פיישנט
נאמן	loyal	לויאל
מפורסם	famous	פיימס
מיוחד	special	ספשל
רגיל	regular	רגולר
שונה	different	דיפרנט
אותו דבר	same	סיים
# פעלים
ללכת|הולך	to walk	טו ווק
לרוץ|רץ	to run	טו ראן
לקפוץ	to jump	טו ג'אמפ
לשחות	to swim	טו סווים
לטוס	to fly	טו פלאיי
לנסוע	to drive	טו דרייב
לשבת	to sit	טו סיט
לעמוד	to stand	טו סטנד
לשכב	to lie down	טו לאיי דאון
לישון|ישן	to sleep	טו סליפ
להתעורר	to wake up	טו וייק אפ
לקום	to get up	טו גט אפ
לאכול|אוכל	to eat	טו איט
לשתות	to drink	טו דרינק
לבשל	to cook	טו קוק
לאפות	to bake	טו בייק
לדבר|מדבר	to speak	טו ספיק
להגיד|לומר	to say	טו סיי
לספר	to tell	טו טל
לשאול	to ask	טו אסק
לענות	to answer	טו אנסר
לצעוק	to shout	טו שאוט
ללחוש	to whisper	טו ווספר
לשמוע	to hear	טו היר
להקשיב	to listen	טו ליסן
לראות|רואה	to see	טו סי
להסתכל	to look	טו לוק
לצפות	to watch	טו ווץ'
לקרוא	to read	טו ריד
לכתוב	to write	טו רייט
לצייר	to draw	טו דרו
לצבוע	to paint	טו פיינט
לשיר	to sing	טו סינג
לרקוד	to dance	טו דאנס
לנגן	to play music	טו פליי מיוזיק
לשחק	to play	טו פליי
ללמוד	to learn	טו לרן
ללמד	to teach	טו טיץ'
לחשוב	to think	טו ת'ינק
לדעת	to know	טו נו
להבין	to understand	טו אנדרסטנד
לזכור	to remember	טו רימֶמבר
לשכוח	to forget	טו פורגט
לאהוב|אוהב	to love	טו לאב
לשנוא	to hate	טו הייט
לרצות|רוצה	to want	טו וונט
לצטרך|צריך	to need	טו ניד
לאהוב משהו|לחבב	to like	טו לייק
להרגיש	to feel	טו פיל
לצחוק	to laugh	טו לאף
לבכות	to cry	טו קראיי
לחייך	to smile	טו סמייל
לעבוד|עובד	to work	טו וורק
לנוח	to rest	טו רסט
לעזור	to help	טו הלפ
לתת	to give	טו גיב
לקחת	to take	טו טייק
לקנות	to buy	טו באיי
למכור	to sell	טו סל
לשלם	to pay	טו פיי
לפתוח	to open	טו אופן
לסגור	to close	טו קלוז
להתחיל	to start	טו סטארט
לסיים	to finish	טו פיניש
לעצור	to stop	טו סטופ
לחכות	to wait	טו וייט
לבוא	to come	טו קאם
לצאת	to go out	טו גו אאוט
להיכנס	to enter	טו אנטר
לחזור	to return	טו ריטרן
להגיע	to arrive	טו אראייב
לעזוב	to leave	טו ליב
לגור	to live	טו ליב
לחיות	to live	טו ליב
למות	to die	טו דאיי
להיוולד	to be born	טו בי בורן
לגדול	to grow	טו גרו
לבנות	to build	טו בילד
לשבור	to break	טו בריק
לתקן	to fix	טו פיקס
לנקות	to clean	טו קלין
לכבס	to wash	טו ווש
להתקלח	to shower	טו שאוור
להתלבש	to get dressed	טו גט דרסט
ללבוש	to wear	טו וור
לחפש	to search	טו סרץ'
למצוא	to find	טו פיינד
לאבד	to lose	טו לוז
לנצח	to win	טו ווין
להפסיד	to lose	טו לוז
לנסות	to try	טו טראיי
להצליח	to succeed	טו סאקסיד
להיכשל	to fail	טו פייל
לבחור	to choose	טו צ'וז
להחליט	to decide	טו דיסייד
להבטיח	to promise	טו פרומיס
להאמין	to believe	טו ביליב
לקוות	to hope	טו הופ
לפחד	to be afraid	טו בי אפרייד
להתפלל	to pray	טו פריי
לברך	to bless	טו בלס
לחגוג	to celebrate	טו סלברייט
להזמין	to invite	טו אינווייט
לבקר	to visit	טו ויזיט
לטייל	to travel	טו טרוול
לשלוח	to send	טו סנד
לקבל	to receive	טו ריסיב
להתקשר	to call	טו קול
לחייג	to dial	טו דאייל
לצלם	to photograph	טו פוטוגרף
להדליק	to turn on	טו טרן און
לכבות	to turn off	טו טרן אוף
לדחוף	to push	טו פוש
למשוך	to pull	טו פול
לזרוק	to throw	טו ת'רו
לתפוס	to catch	טו קץ'
להרים	to lift	טו ליפט
לשים	to put	טו פוט
להחזיק	to hold	טו הולד
לגעת	to touch	טו טאץ'
לחתוך	to cut	טו קאט
לספור	to count	טו קאונט
לחשב	to calculate	טו קלקיולייט
למדוד	to measure	טו מז'ר
להשוות	to compare	טו קומפר
להסביר	to explain	טו אקספליין
לתרגם	to translate	טו טרנסלייט
להתאמן	to practice	טו פרקטיס
לנשום	to breathe	טו בריד'
לנשק	to kiss	טו קיס
לחבק	to hug	טו האג
לסלוח	to forgive	טו פורגיב
להתנצל	to apologize	טו אפולוג'ייז
להודות	to thank	טו ת'נק
לשמור	to keep	טו קיפ
לשנות	to change	טו צ'ינג'
להשתמש	to use	טו יוז
להראות	to show	טו שו
להתחתן	to marry	טו מרי
להתגעגע	to miss	טו מיס
לפגוש	to meet	טו מיט
לעשות|עושה	to do	טו דו
להכין	to make	טו מייק
להיות	to be	טו בי
יש	there is	דר איז
אין	there is not	דר איז נוט
# מילים שימושיות
כן	yes	יס
לא	no	נו
אולי	maybe	מייבי
בבקשה	please	פליז
תודה	thank you	ת'נק יו
תודה רבה	thank you very much	ת'נק יו ורי מאץ'
סליחה	sorry	סורי
שלום	hello	הלו
להתראות	goodbye	גודבאיי
בוקר טוב	good morning	גוד מורנינג
ערב טוב	good evening	גוד איבנינג
לילה טוב	good night	גוד נאייט
ברוך הבא|ברוכים הבאים	welcome	וולקאם
מזל טוב	congratulations	קונגרצ'ולייישנס
בהצלחה	good luck	גוד לאק
בתיאבון	enjoy your meal	אנג'וי יור מיל
מה שלומך	how are you	האו אר יו
אני	i	איי
אתה|את	you	יו
הוא	he	הי
היא	she	שי
אנחנו	we	וי
הם|הן	they	דיי
שלי	mine	מאיין
שלך	yours	יורז
מה	what	ווט
מי	who	הו
איפה	where	וור
מתי	when	וון
למה	why	וואיי
איך	how	האו
כמה	how many	האו מני
איזה	which	וויץ'
כאן|פה	here	היר
שם	there	דר
הכל	everything	אבריתינג
כלום	nothing	נאת'ינג
משהו	something	סאמת'ינג
כולם	everyone	אבריוואן
אף אחד	nobody	נובאדי
הרבה	a lot	א לוט
קצת	a little	א ליטל
מאוד	very	ורי
גם	also	אולסו
רק	only	אונלי
עוד	more	מור
פחות	less	לס
עם	with	וויד'
בלי	without	וויד'אאוט
ו	and	אנד
או	or	אור
אבל	but	באט
כי	because	ביקוז
אם	if	איף
אז	so	סו
לפני	before	ביפור
אחרי	after	אפטר
ליד	near	ניר
רחוק	far	פאר
למעלה	up	אפ
למטה	down	דאון
ימינה|ימין	right	רייט
שמאלה|שמאל	left	לפט
קדימה	forward	פורוורד
אחורה	back	בק
בפנים	inside	אינסייד
בחוץ	outside	אאוטסייד
על	on	און
מתחת	under	אנדר
בין	between	ביטווין
יחד	together	טוגד'ר
לבד	alone	אלון
כבר	already	אולרדי
עדיין	still	סטיל
שוב	again	אגיין
אולי כן	perhaps	פרהפס
בסדר	okay	אוקיי
בטח	sure	שור
מעולה	excellent	אקסלנט
נהדר	great	גרייט
עזרה	help	הלפ
זהירות	caution	קושן
סכנה	danger	דיינג'ר
שקט	silence	סיילנס
# עוד שמות עצם
אלוהים	god	גוד
תפילה	prayer	פרייר
תורה	torah	טורה
חגיגה	celebration	סלברייישן
מתנה	gift	גיפט
מסיבה	party	פארטי
חתונה	wedding	ודינג
נר	candle	קנדל
פרס	prize	פרייז
חיים	life	לייף
מוות	death	דת'
שלום עולמי|שלום בעולם	world peace	וורלד פיס
מלחמה	war	וור
צבא	army	ארמי
ממשלה	government	גאברנמנט
חוק	law	לו
משטרה	police	פוליס
בעיה	problem	פרובלם
פתרון	solution	סולושן
סוד	secret	סיקרט
שם	name	ניים
גיל	age	אייג'
מספר	number	נאמבר
צורה	shape	שייפ
עיגול	circle	סירקל
ריבוע	square	סקוור
משולש	triangle	טראיאנגל
קו	line	ליין
נקודה	point	פוינט
צד	side	סייד
חלק	part	פארט
סוף	end	אנד
התחלה	beginning	ביגינינג
אמצע	middle	מידל
דרך	way	וויי
מקום	place	פלייס
כיוון	direction	דיירקשן
גובה	height	הייט
משקל	weight	וייט
אורך	length	לנגת'
מהירות	speed	ספיד
כוח	power	פאוור
אנרגיה	energy	אנרג'י
קול	voice	ווייס
רעש	noise	נויז
ריח	smell	סמל
טעם	taste	טייסט
צבעוני	colorful	קאלרפול
חום גוף	temperature	טמפרצ'ר
מזג אוויר	weather	וד'ר
עונה	season	סיזן
חופשה	vacation	וקיישן
טיול	trip	טריפ
תור	line	ליין
כסא גלגלים	wheelchair	ווילצ'ייר
תרופה	medicine	מדיסן
כאב	pain	פיין
מחלה	disease	דיזיז
בריאות	health	הלת'
כלב שמירה	guard dog	גארד דוג
שמירה	guard	גארד
קופסה	box	בוקס
שקית	bag	בג
חבל	rope	רופ
מסמר	nail	נייל
פטיש	hammer	המר
מברג	screwdriver	סקרודרייבר
מספריים	scissors	סיזרז
דבק	glue	גלו
סבון	soap	סופ
מגבת	towel	טאוול
מברשת שיניים	toothbrush	טות'בראש
משחת שיניים	toothpaste	טות'פייסט
מסרק	comb	קום
צעצוע	toy	טוי
בובה	doll	דול
אופנה	fashion	פשן
אומנות	art	ארט
ציור	painting	פיינטינג
פסל	statue	סטאצ'ו
תיאטרון	theater	ת'יאטר
קונצרט	concert	קונסרט
פסנתר	piano	פיאנו
גיטרה	guitar	גיטאר
תוף	drum	דראם
כינור	violin	ויולין
חליל	flute	פלוט
מדליה	medal	מדל
קבוצה	team	טים
שחקן כדורגל	football player	פוטבול פלייר
מאמן	coach	קוץ'
ניצחון	victory	ויקטורי
# עוד מילים
אגודל	thumb	ת'אמב
ירך	thigh	ת'אי
קרסול	ankle	אנקל
כף יד	palm	פאלם
ריאות	lungs	לאנגז
כבד	liver	ליבר
קיבה	stomach	סטומך
שריר	muscle	מאסל
דמעה	tear	טיר
זיעה	sweat	סווט
נשימה	breath	ברת'
שינה	sleep	סליפ
חלומות	dreams	דרימז
מעדר	hoe	הו
מגרפה	rake	רייק
דלי	bucket	באקט
סולם	ladder	לאדר
גדר	fence	פנס
שער	gate	גייט
חצר	yard	יארד
מרפסת	balcony	בלקוני
מחסן	storage room	סטורג' רום
